id,Edicion,Id_Propuesta,Titulo,Codigo_Ambito_Referencia,Ambito_Referencia,Tipo_Proponente,Numero_Apoyos,Pasa_Fase_Apoyos,Pasa_Fase_Viabilidad,Numero_Votos,Seleccionada,Presupuesto_euros,Mision_Climatica,Fecha creacion,Fecha_Baja,id_distrito,nombre_distrito,match_status
3349,6,4405,SKATEPARK Y COLUMPIOS PARQUE LEBoN,12,Camins al Grau,Particular,86.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,12,Camins al Grau,matched
3353,6,4409,Ordenacion del entorno de la trillaora del tocaio,19,5,Particular,16.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,19,Pobles del Sud,matched
3357,6,4413,Carril bici a Vara de Quart,8,Patraix,Particular,32.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,8,Patraix,matched
3392,6,4448,Aparcamiento en bateria Cuenca Tramoyers,14,Benimaclet,Particular,15.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,14,Benimaclet,matched
3425,6,4481,Ajardinamiento del Monumento a las victimas de la Riada en la Avda de Aragon.,6,el Pla del Real,Particular,23.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,6,el Pla del Real,matched
3465,6,4522,REPARACIoN DE LA PISTA DE PATINAJE EN LA ZONA DEL PARQUE GULLIVER,2,l'Eixample,Particular,12.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,2,l'Eixample,matched
3516,6,4573,Reforma y asfaltar la Calle Pedro de Valencia,13,Algiros,Particular,36.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,13,Algirós,matched
3698,6,4756,Creacion de e-can (pipi canes con premio),14,Benimaclet,Particular,11.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,14,Benimaclet,matched
3720,6,4778,Remodelacion de la Plaza Roma para hacerla mas accesible a los vecinos.,7,l'Olivereta,Particular,31.0,SI,SI,382.0,SI,17000.0,No aplicable,2023-04-27,,7,l'Olivereta,matched
3726,6,4784,ADECUACIoN ENTORNO CHALET DE ABEN AL-ABBAR,12,Camins al Grau,Particular,65.0,SI,SI,520.0,SI,18000.0,No aplicable,2023-04-27,,12,Camins al Grau,matched
3751,6,4811,PLANTACIoN DE aRBOLES EN CAMPOS CRESPO,8,Patraix,Particular,33.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,8,Patraix,matched
